,TestEMA01,TestEMA03,TestEMA05,TestEMA07,PredEMA01,PredEMA03,PredEMA05,PredEMA07,TestEMA005,PredEMA005
86,8.729999949432164,9.289999808932082,9.47999983399658,9.470000117965046,8.268896,8.281202,8.396412,8.769801,8.420000187379138,7.9897003
87,8.619999963772297,8.789999848904449,8.540000373096795,8.159999938525257,8.268727,8.415033,8.420817,8.68522,8.380000392603907,7.991957
88,8.710000446053591,9.029999701806137,9.069999656487973,9.170000051505866,8.267825,8.499353,8.312104,8.527789,8.43999978733955,7.9937525
89,8.760000713987644,9.0799996978089,9.130000195588188,9.18999961287527,8.2682905,8.447495,8.291988,8.388745,8.47999958211478,7.9965696
90,8.510000581907478,8.22000027820768,7.670000445415117,7.099999925233421,8.269139,8.535412,8.15161,8.538572,8.36000019778909,7.9988995
91,8.479999817351999,8.210000151095551,7.929999932612473,7.869999985046684,8.267802,8.51877,8.099527,8.369591,8.36000019778909,7.99715
92,8.580000353220104,8.600000631563413,8.720000675518868,9.010000237591573,8.267983,8.345338,8.070192,8.36324,8.410000089971728,7.995119
93,8.729999949432164,9.049999956030396,9.409999643339187,9.77000084901604,8.267927,8.318158,8.086399,8.408529,8.500000371784003,7.990997
94,8.870000095852465,9.359999419601218,9.750000287629687,10.000000124610963,8.268646,8.362131,8.230597,8.61926,8.579999961334464,7.9915233
95,9.080000013585389,9.850000531632492,10.380000031228366,10.700000058151783,8.269627,8.392654,8.328972,8.822508,8.699999940514559,7.994895
96,8.810000981921696,8.819999590682952,8.39000034022483,7.689999945171175,8.272998,8.486399,8.456728,8.854411,8.579999961334464,8.00179
97,8.870000095852465,8.989999832915503,8.890000668944475,8.8900002110079,8.273576,8.430677,8.386411,8.583994,8.630000448371508,8.004894
98,9.090000670967248,9.63000029339718,10.000000123269867,10.439999779023225,8.276104,8.44244,8.3008795,8.671888,8.750000427551603,8.010137
99,9.289999931318311,10.069999490752034,10.550000024653974,10.899999659396697,8.27913,8.596959,8.443454,8.741976,8.8700004067317,8.017457
100,9.029999745651336,9.029999701806137,8.569999985207616,7.8900002110079,8.281857,8.737254,8.526612,8.936477,8.750000427551603,8.02535
101,8.740000003018976,8.180000409317048,7.389999682785544,6.710000171132392,8.283595,8.628638,8.427825,8.861762,8.630000448371508,8.029842
102,8.660000178119539,8.100000671535781,7.640000175865009,7.540000244237491,8.285334,8.452887,8.323616,8.519096,8.590000653596277,8.0348
103,8.750000056605785,8.549999996002763,8.620000215311366,8.97999989864975,8.285584,8.35525,8.177291,8.266351,8.640000545778918,8.036952
104,8.920000363786517,9.100000591591044,9.510000103546687,9.970000450260953,8.286363,8.246923,8.200843,8.370014,8.729999637882381,8.043424
105,9.11000017434582,9.609999399615036,10.159999807699007,10.550000357218098,8.287395,8.289576,8.269748,8.615253,8.830000017102064,8.050522
106,9.040000403033195,9.279999681819952,9.329999801124616,9.120000151194636,8.289844,8.44162,8.32185,8.764299,8.810000417141651,8.058156
107,9.149999784898014,9.520000813837411,9.710000366522404,9.800000523366052,8.291365,8.394249,8.351304,8.716482,8.880000504139108,8.063303
108,9.279999877731504,9.789999768959714,10.06000066237008,10.220000616408903,8.293091,8.477348,8.412805,8.736603,8.960000093689569,8.067391
109,9.300000588700172,9.699999904066315,9.779999899740508,9.720000284113,8.294976,8.635529,8.410373,8.863633,8.979999693649981,8.070716
110,9.370000360012796,9.789999768959714,9.890000668944475,9.909999772377304,8.296347,8.671988,8.526935,8.908559,9.030000180687026,8.0765
111,9.520000560019907,10.120000126312682,10.39000034022483,10.600000257529327,8.29786,8.6856575,8.6011,8.985169,9.130000559906708,8.082812
112,9.590000331332533,10.149999868091186,10.300000189013796,10.31999975243955,8.299876,8.7420635,8.649796,9.034843,9.180000452089349,8.090171
113,9.440000131325425,9.529999661833768,9.199999728806294,8.77000084901604,8.301815,8.8049555,8.670013,9.061355,9.130000559906708,8.096725
114,9.560000774367149,9.850000531632492,9.899999663062363,10.050000024922191,8.303082,8.817218,8.622892,8.907075,9.20000005204976,8.102165
115,9.530000009811667,9.689999776954188,9.600000254757724,9.520000682868083,8.304883,8.842845,8.584413,8.846701,9.20000005204976,8.108817
116,9.440000131325425,9.359999419601218,9.100000583477367,8.880000098027292,8.305553,8.810487,8.560597,8.804504,9.17000035468194,8.114524
117,9.450000184912234,9.430000309386129,9.350000419117546,9.380000430323198,8.30652,8.701258,8.464229,8.801538,9.20000005204976,8.118337
118,9.619999888297915,9.93000026941376,10.220000346799225,10.580000031568112,8.308142,8.643701,8.418182,8.790285,9.290000333862036,8.121449
119,9.399999916978182,9.170000202260182,8.810000826729903,8.35999953977017,8.309975,8.686468,8.518443,8.880582,9.20000005204976,8.12566
120,9.100000724554056,8.33999988487958,7.6100005637541885,6.9900000116303564,8.310075,8.654757,8.474938,8.702137,9.060000472909252,8.129205
121,9.200000052832069,8.870000226243603,8.85000074783719,9.170000051505866,8.310396,8.488931,8.216031,8.406671,9.109999770237486,8.13278
122,9.390000467186418,9.539999788945895,9.979999505276936,10.520000682868083,8.310896,8.376934,8.215654,8.488842,9.21000014945717,8.136022
123,9.530000009811667,9.92000014230163,10.39000034022483,10.720000284113,8.311823,8.442838,8.360399,8.785579,9.290000333862036,8.1408825
124,9.689999659610542,10.27000075387886,10.739999978633223,10.97999989864975,8.312491,8.551801,8.4780035,8.933909,9.380000615674309,8.146025
125,9.81999975244403,10.4899997129984,10.870000050951544,11.000000124610963,8.313763,8.683068,8.580716,8.997066,9.46000020522477,8.151278
126,9.939999791690708,10.640000340564574,10.939999584169652,11.000000124610963,8.314558,8.794418,8.66709,9.047193,9.540000389629636,8.1549015
127,9.99000005962476,10.60000047167394,10.720000675518868,10.649999493248744,8.316128,8.877125,8.713743,9.05969,9.580000184404865,8.160307
128,10.079999938111008,10.689999697009451,10.810000826729905,10.820000084735456,8.31784,8.955653,8.677274,9.110627,9.649999676547916,8.16486
129,10.100000649079677,10.569999450779664,10.550000024653974,10.46000000498444,8.319551,9.014106,8.744011,9.169291,9.68000056362455,8.169415
130,10.060000434732435,10.310000622769492,10.130000195588188,9.93000066293033,8.320913,9.01014,8.808934,9.169582,9.68000056362455,8.173606
131,10.079999938111008,10.279999601875216,10.159999807699007,10.120000151194636,8.322185,8.973173,8.787935,9.097733,9.71000026099237,8.178462
132,10.170000420392302,10.4899997129984,10.580000294204082,10.739999845482403,8.323711,8.962981,8.733697,9.057641,9.770000845436824,8.183167
